Splaygrootte,Tijd,Aantal elementen
3,285,1000000
4,304,1000000
5,258,1000000
6,237,1000000
7,316,1000000
8,325,1000000
9,324,1000000
10,325,1000000
11,219,1000000
12,223,1000000
13,231,1000000
14,226,1000000
15,338,1000000
16,332,1000000
17,333,1000000
18,331,1000000
19,310,1000000
20,303,1000000
21,295,1000000
22,289,1000000
23,186,1000000
24,184,1000000
25,178,1000000
26,174,1000000
27,147,1000000
28,142,1000000
29,136,1000000
30,133,1000000
31,231,1000000
32,222,1000000
33,212,1000000
34,209,1000000
35,195,1000000
36,187,1000000
37,184,1000000
38,174,1000000
39,156,1000000
40,150,1000000
41,142,1000000
42,136,1000000
43,126,1000000
44,119,1000000
45,115,1000000
46,109,1000000
47,98,1000000
48,95,1000000
49,93,1000000
50,91,1000000
51,85,1000000
52,83,1000000
53,80,1000000
54,80,1000000
55,76,1000000
56,73,1000000
57,74,1000000
58,71,1000000
59,71,1000000
60,71,1000000
61,70,1000000
62,69,1000000
63,87,1000000
