Splaygrootte,Tijd,Aantal elementen,Aantal vaak gezochte elementen
3,9,1000000,2000
4,9,1000000,2000
5,9,1000000,2000
6,8,1000000,2000
7,8,1000000,2000
8,4,1000000,2000
9,7,1000000,2000
10,8,1000000,2000
11,6,1000000,2000
12,6,1000000,2000
13,9,1000000,2000
14,4,1000000,2000
15,7,1000000,2000
16,4,1000000,2000
17,5,1000000,2000
18,5,1000000,2000
19,4,1000000,2000
20,3,1000000,2000
21,3,1000000,2000
22,3,1000000,2000
23,2,1000000,2000
24,2,1000000,2000
25,2,1000000,2000
26,1,1000000,2000
27,2,1000000,2000
28,3,1000000,2000
29,3,1000000,2000
30,3,1000000,2000
31,3,1000000,2000
32,3,1000000,2000
33,3,1000000,2000
34,2,1000000,2000
35,4,1000000,2000
36,3,1000000,2000
37,3,1000000,2000
38,1,1000000,2000
39,1,1000000,2000
40,3,1000000,2000
41,4,1000000,2000
42,5,1000000,2000
43,4,1000000,2000
44,3,1000000,2000
45,3,1000000,2000
46,4,1000000,2000
47,4,1000000,2000
48,5,1000000,2000
49,5,1000000,2000
50,6,1000000,2000
51,5,1000000,2000
52,6,1000000,2000
53,5,1000000,2000
54,4,1000000,2000
55,6,1000000,2000
56,6,1000000,2000
57,6,1000000,2000
58,7,1000000,2000
59,6,1000000,2000
60,6,1000000,2000
61,4,1000000,2000
62,4,1000000,2000
63,6,1000000,2000
3,30,1000000,5000
4,32,1000000,5000
5,29,1000000,5000
6,26,1000000,5000
7,28,1000000,5000
8,32,1000000,5000
9,28,1000000,5000
10,20,1000000,5000
11,26,1000000,5000
12,22,1000000,5000
13,21,1000000,5000
14,25,1000000,5000
15,23,1000000,5000
16,20,1000000,5000
17,24,1000000,5000
18,20,1000000,5000
19,16,1000000,5000
20,14,1000000,5000
21,11,1000000,5000
22,12,1000000,5000
23,13,1000000,5000
24,9,1000000,5000
25,9,1000000,5000
26,9,1000000,5000
27,9,1000000,5000
28,10,1000000,5000
29,9,1000000,5000
30,9,1000000,5000
31,9,1000000,5000
32,8,1000000,5000
33,7,1000000,5000
34,8,1000000,5000
35,10,1000000,5000
